Duration,Pulse,Maxpulse,Calories,Pulse3
60,110,130,409.1,55.0
60,117,145,479.0,58.5
60,103,135,340.0,51.5
45,109,175,282.4,54.5
45,117,148,406.0,58.5
60,102,127,300.0,51.0
60,110,136,374.0,55.0
45,104,134,253.3,52.0
30,109,133,195.1,54.5
60,98,124,269.0,49.0
60,103,147,329.3,51.5
60,100,120,250.7,50.0
60,106,128,345.3,53.0
60,104,132,379.3,52.0
60,98,123,275.0,49.0
60,98,120,215.2,49.0
60,100,120,300.0,50.0
45,90,112,,45.0
60,103,123,323.0,51.5
45,97,125,243.0,48.5
60,108,131,364.2,54.0
45,100,119,282.0,50.0
60,130,101,300.0,65.0
45,105,132,246.0,52.5
60,102,126,334.5,51.0
60,100,120,250.0,50.0
60,92,118,241.0,46.0
60,103,132,,51.5
